ANALISE DE MATURAÇÃO,,,,,,,
LOCAL,BOA ESPERANÇA DO SUL- SP,,,,,,
DATA,15/03/2021,,,AGRONOMO,,MATHEUS MARTINS ,
VARIEDADE,MA 16,,,DATA DO PLANTIO,,14/12/2020,
CLASSE COR,QUANT. DE VAGEM,,%,% TOTAL,,% TOTAL,
BRANCO,14,,9.40,9.40,,Imaturo,
AMARELO,99,,66.44,66.44,,Pré-Maduro,
LARANJA,26,,17.45,,,Maduro,
MARROM,8,,5.37,24.16,,,
PRETA,2,,1.34,,,,
TOTAL,149,, 100.00 ,,,,
,,,,,,,
ANALISE DE MATURAÇÃO,,,,,,,
LOCAL,BOA ESPERANÇA DO SUL - SP,,,,,,
DATA,26/03/2021,,,AGRONOMO,,MATHEUS MARTINS ,
VARIEDADE,MA 16,,,DATA DO PLANTIO,,04/12/2020,
CLASSE COR,QUANT. DE VAGEM,,%,% TOTAL,,% TOTAL,
BRANCO,8,,7.48,7.48,,Imaturo,
AMARELO,53,,49.53,49.53,,Pré-Maduro,
LARANJA,17,,15.89,42.99,,Maduro,
MARROM,25,,23.36,,,,
PRETA,4,,3.74,,,,
TOTAL,107,,100.00,,,,
,,,,,,,
ANALISE DE MATURAÇÃO,,,,,,,,
LOCAL,BOA ESPERANÇA DO SUL - SP,,,,,,,
DATA,07/04/2021,,,AGRONOMO,,MATHEUS MARTINS ,,
VARIEDADE,MA 16,,,DATA DO PLANTIO,,04/12/2020,,
CLASSE COR,QUANT. DE VAGEM,,%,% TOTAL,,% TOTAL,,
BRANCO,5,,4.81,4.81,,Imaturo,,
AMARELO,23,,22.12,22.12,,Pré-Maduro,,
LARANJA,48,,46.15,73.08,,Maduro,,
MARROM,28,,26.92,,,,,
PRETA,0,,0.00,,,,,
TOTAL,104,,100.00,,,,,
