ANALISE DE MATURAÇÃO,,,,,,,
LOCAL,BOA ESPERANÇA DO SUL- SP,,,,,,
DATA,15/03/2021,,,AGRONOMO,,MATHEUS MARTINS ,
VARIEDADE,IAC OL 3,,,DATA DO PLANTIO,,14/12/2020,
CLASSE COR,QUANT. DE VAGEM,,%,% TOTAL,,% TOTAL,
BRANCO,14,,12.96,12.96,,Imaturo,
AMARELO,80,,74.07,74.07,,Pré-Maduro,
LARANJA,13,,12.04,,,Maduro,
MARROM,1,,0.93,12.96,,,
PRETA,,,0.00,,,,
TOTAL,108,, 100.00 ,100.00,,,
,,,,,,,
ANALISE DE MATURAÇÃO,,,,,,,
LOCAL,BOA ESPERANÇA DO SUL - SP,,,,,,
DATA,26/03/2021,,,AGRONOMO,,MATHEUS MARTINS ,
VARIEDADE,OL3,,,DATA DO PLANTIO,,04/12/2020,
CLASSE COR,QUANT. DE VAGEM,,%,% TOTAL,,% TOTAL,
BRANCO,18,,18.95,18.95,,Imaturo,
AMARELO,57,,60.00,60.00,,Pré-Maduro,
LARANJA,10,,10.53,21.05,,Maduro,
MARROM,9,,9.47,,,,
PRETA,1,,1.05,,,,
TOTAL,95,,100.00,,,,
,,,,,,,
ANALISE DE MATURAÇÃO,,,,,,,,
LOCAL,BOA ESPERANÇA DO SUL - SP,,,,,,,
DATA,07/04/2021,,,AGRONOMO,,MATHEUS MARTINS ,,
VARIEDADE,OL3,,,DATA DO PLANTIO,,04/12/2020,,
CLASSE COR,QUANT. DE VAGEM,,%,% TOTAL,,% TOTAL,,
BRANCO,11,,10.89,10.89,,Imaturo,,
AMARELO,34,,33.66,33.66,,Pré-Maduro,,
LARANJA,23,,22.77,55.45,,Maduro,,
MARROM,24,,23.76,,,,,
PRETA,9,,8.91,,,,,
TOTAL,101,,100.00,,,,,
