ANALISE DE MATURAÇÃO,,,,,,,
LOCAL,BOA ESPERANÇA DO SUL -SP,,,,,,
DATA,15/03/2021,,,AGRONOMO,,MATHEUS MARTINS ,
VARIEDADE,MA 88,,,DATA DO PLANTIO,,14/12/2020,
CLASSE COR,QUANT. DE VAGEM,,%,% TOTAL,,% TOTAL,
BRANCO,7,,8.33,8.33,,Imaturo,
AMARELO,62,,73.81,73.81,,Pré-Maduro,
LARANJA,11,,13.10,,,Maduro,
MARROM,4,,4.76,17.86,,,
PRETA,,,0.00,,,,
TOTAL,84,, 100.00 , 100.00 ,,,
,,,,,,,
ANALISE DE MATURAÇÃO,,,,,,,
LOCAL,BOA ESPERANÇA DO SUL - SP,,,,,,
DATA,26/03/2021,,,AGRONOMO,,MATHEUS MARTINS ,
VARIEDADE,MA - 88,,,DATA DO PLANTIO,,04/12/2020,
CLASSE COR,QUANT. DE VAGEM,,%,% TOTAL,,% TOTAL,
BRANCO,4,,4.40,4.40,,Imaturo,
AMARELO,56,,61.54,61.54,,Pré-Maduro,
LARANJA,24,,26.37,34.07,,Maduro,
MARROM,7,,7.69,,,,
PRETA,0,,0.00,,,,
TOTAL,91,,100.00,,,,
,,,,,,,
ANALISE DE MATURAÇÃO,,,,,,,,
LOCAL,BOA ESPERANÇA DO SUL - SP,,,,,,,
DATA,07/04/2021,,,AGRONOMO,,MATHEUS MARTINS ,,
VARIEDADE,MA - 88,,,DATA DO PLANTIO,,04/12/2020,,
CLASSE COR,QUANT. DE VAGEM,,%,% TOTAL,,% TOTAL,,
BRANCO,0,,0.00,0.00,,Imaturo,,
AMARELO,21,,27.63,27.63,,Pré-Maduro,,
LARANJA,14,,18.42,72.37,,Maduro,,
MARROM,32,,42.11,,,,,
PRETA,9,,11.84,,,,,
TOTAL,76,,100.00,,,,,
