ANALISE DE MATURAÇÃO,,,,,,,
LOCAL,JABOTICABAL - SP,,,,,,
DATA,05/03/2021,,,AGRONOMO,,MATHEUS MARTINS ,
VARIEDADE,IAC 503,,,DATA DO PLANTIO,,04/12/2020,
CLASSE COR,QUANT. DE VAGEM,,%,% TOTAL,,% TOTAL,
BRANCO,37,,27.82,27.82,,Imaturo,
AMARELO,96,,72.18,72.18,,Pré-Maduro,
LARANJA,0,,0.00,,,Maduro,
MARROM,0,,0.00,,,,
PRETA,0,,0.00,,,,
TOTAL,133,, 100.00 ,100.00,,,
,,,,,,,
ANALISE DE MATURAÇÃO,,,,,,,
LOCAL,JABOTICABAL - SP,,,,,,
DATA,17/03/2021,,,AGRONOMO,,MATHEUS MARTINS ,
VARIEDADE,IAC 503,,,DATA DO PLANTIO,,04/12/2020,
CLASSE COR,QUANT. DE VAGEM,,%,% TOTAL,,% TOTAL,
BRANCO,31,,25.62,25.62,,Imaturo,
AMARELO,70,,57.85,57.85,,Pré-Maduro,
LARANJA,20,,16.53,16.53,,Maduro,
MARROM,0,,0.00,,,,
PRETA,0,,0.00,,,,
TOTAL,121,,100.00,,,,
,,,,,,,
ANALISE DE MATURAÇÃO,,,,,,,
LOCAL,JABOTICABAL - SP,,,,,,
DATA,25/03/2021,,,AGRONOMO,,MATHEUS MARTINS ,
VARIEDADE,IAC 503,,,DATA DO PLANTIO,,04/12/2020,
CLASSE COR,QUANT. DE VAGEM,,%,% TOTAL,,% TOTAL,
BRANCO,26,,31.71,31.71,,Imaturo,
AMARELO,29,,35.37,35.37,,Pré-Maduro,
LARANJA,15,,18.29,32.93,,Maduro,
MARROM,12,,14.63,,,,
PRETA,0,,0.00,,,,
TOTAL,82,,100.00,,,,
,,,,,,,
ANALISE DE MATURAÇÃO,,,,,,,,
LOCAL,JABOTICABAL - SP,,,,,,,
DATA,08/04/2021,,,AGRONOMO,,MATHEUS MARTINS ,,
VARIEDADE,IAC 503,,,DATA DO PLANTIO,,04/12/2020,,
CLASSE COR,QUANT. DE VAGEM,,%,% TOTAL,,% TOTAL,,
BRANCO,0,,0.00,0.00,,Imaturo,,
AMARELO,31,,38.75,38.75,,Pré-Maduro,,
LARANJA,25,,31.25,61.25,,Maduro,,
MARROM,20,,25.00,,,,,
PRETA,4,,5.00,,,,,
TOTAL,80,,100.00,,,,,
,,,,,,,,
