ANALISE DE MATURAÇÃO,,,,,,,
LOCAL,JABOTICABAL - SP,,,,,,
DATA,05/03/2021,,,AGRONOMO,,MATHEUS MARTINS ,
VARIEDADE,MA - 88,,,DATA DO PLANTIO,,04/12/2020,
CLASSE COR,QUANT. DE VAGEM,,%,% TOTAL,,% TOTAL,
BRANCO,29,,27.62,27.62,,Imaturo,
AMARELO,54,,51.43,51.43,,Pré-Maduro,
LARANJA,22,,20.95,20.95,,Maduro,
MARROM,0,,0,,,,
PRETA,0,,0,,,,
TOTAL,105,,100.00,,,,
,,,,,,,
ANALISE DE MATURAÇÃO,,,,,,,
LOCAL,JABOTICABAL - SP,,,,,,
DATA,17/03/2021,,,AGRONOMO,,MATHEUS MARTINS ,
VARIEDADE,MA - 88,,,DATA DO PLANTIO,,04/12/2020,
CLASSE COR,QUANT. DE VAGEM,,%,% TOTAL,,% TOTAL,
BRANCO,8,,8.51,8.51,,Imaturo,
AMARELO,56,,59.57,59.57,,Pré-Maduro,
LARANJA,24,,25.53,31.91,,Maduro,
MARROM,6,,6.38,,,,
PRETA,0,,0,,,,
TOTAL,94,,100.00,,,,
,,,,,,,
ANALISE DE MATURAÇÃO,,,,,,,
LOCAL,JABOTICABAL - SP,,,,,,
DATA,25/03/2021,,,AGRONOMO,,MATHEUS MARTINS ,
VARIEDADE,MA - 88,,,DATA DO PLANTIO,,04/12/2020,
CLASSE COR,QUANT. DE VAGEM,,%,% TOTAL,,% TOTAL,
BRANCO,,,0.00,0.00,,Imaturo,
AMARELO,36,,40.00,40.00,,Pré-Maduro,
LARANJA,24,,26.67,60.00,,Maduro,
MARROM,24,,26.67,,,,
PRETA,6,,6.67,,,,
TOTAL,90,,100.00,,,,
,,,,,,,
ANALISE DE MATURAÇÃO,,,,,,,,
LOCAL,JABOTICABAL - SP,,,,,,,
DATA,08/04/2021,,,AGRONOMO,,MATHEUS MARTINS ,,
VARIEDADE,MA - 88,,,DATA DO PLANTIO,,04/12/2020,,
CLASSE COR,QUANT. DE VAGEM,,%,% TOTAL,,% TOTAL,,
BRANCO,0,,0.00,0.00,,Imaturo,,
AMARELO,24,,28.57,28.57,,Pré-Maduro,,
LARANJA,11,,13.10,71.43,,Maduro,,
MARROM,23,,27.38,,,,,
PRETA,26,,30.95,,,,,
TOTAL,84,,100.00,,,,,
