ANALISE DE MATURAÇÃO;;;;;;
LOCAL;BOA ESPERANÇA DO SUL - SP;;;;;
DATA;30/01/2021;;;AGRONOMO;;MATHEUS MARTINS
VARIEDADE;IAC 503;;;DATA DO PLANTIO;;26/10/2020
CLASSE COR;QUANT. DE VAGEM;;%;% TOTAL;;% TOTAL
BRANCO;;;40.60;40.60;;Imaturo
AMARELO;;;58.40;58.40;;Pré-Maduro
LARANJA;;;;0.00;;Maduro
MARROM;;;;;;
PRETA;;;;;;
TOTAL;0;;99.00;;;
;;;;;;
ANALISE DE MATURAÇÃO;;;;;;
LOCAL;BOA ESPERANÇA DO SUL - SP;;;;;
DATA;10/02/2021;;;AGRONOMO;;MATHEUS MARTINS
VARIEDADE;IAC 503;;;DATA DO PLANTIO;;26/10/2020
CLASSE COR;QUANT. DE VAGEM;;%;% TOTAL;;% TOTAL
BRANCO;;;36.20;36.20;;Imaturo
AMARELO;;;60.40;60.40;;Pré-Maduro
LARANJA;;;3.40;3.40;;Maduro
MARROM;;;;;;
PRETA;;;;;;
TOTAL;0;;100.00;;;
;;;;;;
ANALISE DE MATURAÇÃO;;;;;;
LOCAL;BOA ESPERANÇA DO SUL - SP;;;;;
DATA;17/02/2021;;;AGRONOMO;;MATHEUS MARTINS
VARIEDADE;IAC 503;;;DATA DO PLANTIO;;26/10/2020
CLASSE COR;QUANT. DE VAGEM;;%;% TOTAL;;% TOTAL
BRANCO;;;7.20;7.20;;Imaturo
AMARELO;;;51.20;51.20;;Pré-Maduro
LARANJA;;;26.80;42.60;;Maduro
MARROM;;;15.80;;;
PRETA;;;;;;
TOTAL;0;;101.00;;;
;;;;;;
ANALISE DE MATURAÇÃO;;;;;;
LOCAL;BOA ESPERANÇA DO SUL - SP;;;;;
DATA;09/03/2021;;;AGRONOMO;;MATHEUS MARTINS
VARIEDADE;IAC 503;;;DATA DO PLANTIO;;26/10/2020
CLASSE COR;QUANT. DE VAGEM;;%;% TOTAL;;% TOTAL
BRANCO;;;26.00;26.00;;Imaturo
AMARELO;;;10.30;10.30;;Pré-Maduro
LARANJA;;;44.20;63.70;;Maduro
MARROM;;;19.50;;;
PRETA;;;;;;
TOTAL;0;;100.00;;;
