ANALISE DE MATURAÇÃO;;;;;;;
LOCAL;CASA BRANCA - SP;;;;;;
DATA;14/01/2021;;;AGRONOMO;;MATHEUS MARTINS ;
VARIEDADE;IAC 503;;;DATA DO PLANTIO;;14 A 18/10/2020;
CLASSE COR;QUANT. DE VAGEM;;%;% TOTAL;;% TOTAL;
BRANCO;;;100.00;100.00;;Imaturo;
AMARELO;;;;0.00;;Pré-Maduro;
LARANJA;;;;0.00;;Maduro;
MARROM;;;;;;;
PRETA;;;;;;;
TOTAL;0;;100.00;;;;
;;;;;;;
ANALISE DE MATURAÇÃO;;;;;;;
LOCAL;CASA BRANCA - SP;;;;;;
DATA;22/01/2021;;;AGRONOMO;;MATHEUS MARTINS ;
VARIEDADE;IAC 503;;;DATA DO PLANTIO;;14 A 18/10/2020;
CLASSE COR;QUANT. DE VAGEM;;%;% TOTAL;;% TOTAL;
BRANCO;;;80.00;80.00;;Imaturo;
AMARELO;;;20.00;20.00;;Pré-Maduro;
LARANJA;;;;0.00;;Maduro;
MARROM;;;;;;;
PRETA;;;;;;;
TOTAL;0;;100.00;;;;
;;;;;;;
ANALISE DE MATURAÇÃO;;;;;;;
LOCAL;CASA BRANCA - SP;;;;;;
DATA;03/02/2021;;;AGRONOMO;;MATHEUS MARTINS ;
VARIEDADE;IAC 503;;;DATA DO PLANTIO;;14 A 18/10/2020;
CLASSE COR;QUANT. DE VAGEM;;%;% TOTAL;;% TOTAL;
BRANCO;;;40.00;40.00;;Imaturo;
AMARELO;;;45.00;45.00;;Pré-Maduro;
LARANJA;;;15.00;15.00;;Maduro;
MARROM;;;;;;;
PRETA;;;;;;;
TOTAL;0;;100.00;;;;
;;;;;;;
ANALISE DE MATURAÇÃO;;;;;;;
LOCAL;CASA BRANCA - SP;;;;;;
DATA;17/02/2021;;;AGRONOMO;;MATHEUS MARTINS ;
VARIEDADE;IAC 503;;;DATA DO PLANTIO;;14 A 18/10/2020;
CLASSE COR;QUANT. DE VAGEM;;%;% TOTAL;;% TOTAL;
BRANCO;;;12.00;12.00;;Imaturo;
AMARELO;;;30.50;30.50;;Pré-Maduro;
LARANJA;;;37.50;57.50;;Maduro;
MARROM;;;19.50;;;;
PRETA;;;0.50;;;;
TOTAL;0;;100.00;;;;
;;;;;;;
ANALISE DE MATURAÇÃO;;;;;;;
LOCAL;CASA BRANCA - SP;;;;;;
DATA;27/02/2021;;;AGRONOMO;;MATHEUS MARTINS ;
VARIEDADE;IAC 503;;;DATA DO PLANTIO;;14 A 18/10/2020;
CLASSE COR;QUANT. DE VAGEM;;%;% TOTAL;;% TOTAL;
BRANCO;;;12.00;12.00;;Imaturo;
AMARELO;;;16.00;16.00;;Pré-Maduro;
LARANJA;;;25.00;72.00;;Maduro;
MARROM;;;42.00;;;;
PRETA;;;5.00;;;;
TOTAL;0;;100.00;;;;
