ANALISE DE MATURAÇÃO;;;;;;;
LOCAL;VARGEM GRANDE DO SUL - SP;;;;;;
DATA;17/02/2021;;;AGRONOMO;;MATHEUS MARTINS ;
VARIEDADE;IAC 503;;;DATA DO PLANTIO;;20/10/2020;
CLASSE COR;QUANT. DE VAGEM;;%;% TOTAL;;% TOTAL;
BRANCO;;;62.80;62.80;;Imaturo;
AMARELO;;;36.20;36.20;;Pré-Maduro;
LARANJA;;;;1.00;;Maduro;
MARROM;;;1.00;;;;
PRETA;;;;;;;
TOTAL;0;;100.00;;;;
;;;;;;;
ANALISE DE MATURAÇÃO;;;;;;;
LOCAL;VARGEM GRANDE DO SUL - SP;;;;;;
DATA;27/02/2021;;;AGRONOMO;;MATHEUS MARTINS ;
VARIEDADE;IAC 503;;;DATA DO PLANTIO;;20/10/2020;
CLASSE COR;QUANT. DE VAGEM;;%;% TOTAL;;% TOTAL;
BRANCO;;;35.20;35.20;;Imaturo;
AMARELO;;;38.10;38.10;;Pré-Maduro;
LARANJA;;;24.80;26.70;;Maduro;
MARROM;;;1.90;;;;
PRETA;;;0.00;;;;
TOTAL;0;;100.00;;;;
;;;;;;;
ANALISE DE MATURAÇÃO;;;;;;;
LOCAL;VARGEM GRANDE DO SUL - SP;;;;;;
DATA;11/03/2021;;;AGRONOMO;;MATHEUS MARTINS ;
VARIEDADE;IAC 503;;;DATA DO PLANTIO;;20/10/2020;
CLASSE COR;QUANT. DE VAGEM;;%;% TOTAL;;% TOTAL;
BRANCO;;;37.20;37.20;;Imaturo;
AMARELO;;;36.40;36.40;;Pré-Maduro;
LARANJA;;;14.30;26.40;;Maduro;
MARROM;;;12.10;;;;
PRETA;;;;;;;
TOTAL;0;;100.00;;;;
;;;;;;;
ANALISE DE MATURAÇÃO;;;;;;;
LOCAL;VARGEM GRANDE DO SUL - SP;;;;;;
DATA;19/03/2021;;;AGRONOMO;;MATHEUS MARTINS ;
VARIEDADE;IAC 503;;;DATA DO PLANTIO;;20/10/2020;
CLASSE COR;QUANT. DE VAGEM;;%;% TOTAL;;% TOTAL;
BRANCO;;;40.00;40.00;;Imaturo;
AMARELO;;;18.00;18.00;;Pré-Maduro;
LARANJA;;;21.00;42.00;;Maduro;
MARROM;;;20.00;;;;
PRETA;;;1.00;;;;
TOTAL;0;;100.00;;;;
;;;;;;;
ANALISE DE MATURAÇÃO;;;;;;;
LOCAL;VARGEM GRANDE DO SUL - SP;;;;;;
DATA;03/04/2021;;;AGRONOMO;;MATHEUS MARTINS ;
VARIEDADE;IAC 503;;;DATA DO PLANTIO;;20/10/2020;
CLASSE COR;QUANT. DE VAGEM;;%;% TOTAL;;% TOTAL;
BRANCO;;;8.90;8.90;;Imaturo;
AMARELO;;;22.20;22.20;;Pré-Maduro;
LARANJA;;;12.40;68.90;;Maduro;
MARROM;;;31.80;;;;
PRETA;;;24.70;;;;
TOTAL;0;;100.00;;;;
